Ingredient,Type,Purpose,Skin Type
Sodium Gluconate,Chelating Agent,Stabilizes the formula and enhances shelf life,All skin types
Oryza Sativa (Rice) Extract,Botanical Extract,"Soothes, brightens, hydrates","Dry, Sensitive skin, Dull skin"
Aqua,Solvent,Hydrates and dissolves other ingredients,All skin types
Argania Spinosa (Argan) Kernel Oil,Emollient,Moisturizes and nourishes the skin,"Dry, Sensitive skin, Mature skin"
Betaine,Humectant,Draws moisture into the skin,All skin types
Ethylhexylglycerin,"Emollient, Preservative",Moisturizes and stabilizes the product,All skin types
Fragrance,Fragrance,Adds scent to the product,All skin types (depending on sensitivity)
Glycine,Amino Acid,Hydrates and soothes,All skin types
Hydrolyzed Hyaluronic Acid,Hydrator,Hydrates and plumps skin,"Dry, Sensitive skin"
Hydrolyzed Pea Protein,"Protein, Moisturizing",Strengthens and moisturizes skin,All skin types
Hydrolyzed Rice Protein,"Protein, Moisturizing",Strengthens and moisturizes skin,All skin types
Hydrolyzed Sesame Protein Pg - Propyl Methylsilanediol,"Protein, Moisturizing",Strengthens and moisturizes skin,All skin types
Malus Domestica Fruit Cell Culture Extract,Botanical Extract,"Anti-aging, boosts skin vitality","Mature skin, All skin types"
Proline,Amino Acid,Supports skin structure and elasticity,All skin types
Propanediol,Humectant,Hydrates and enhances absorption,All skin types
Xanthan Gum,Stabilizer,Thickens and stabilizes the product,All skin types
CI 16255,Colorant,Adds color to the product,All skin types
Aspalathus Linearis (Rooibos) Leaf Extract,Botanical Extract,"Antioxidant, soothes and calms skin","Sensitive skin, Dull skin"
Camellia Sinensis (Green Tea) Leaf Extract,Botanical Extract,"Antioxidant, anti-inflammatory, protects skin","All skin types, Sensitive skin"
Camellia Sinensis (White Tea) Leaf Extract,Botanical Extract,"Antioxidant, anti-aging, soothes","Mature skin, Sensitive skin"
Cetearyl Alcohol,"Emollient, Emulsifier",Softens skin and stabilizes product,"Dry, Sensitive skin"
Glyceryl Stearate,Emulsifier,Helps mix oil and water-based ingredients,All skin types
Glycolic Acid,Alpha Hydroxy Acid (AHA),"Exfoliates skin, promotes cell turnover","Dull skin, Uneven skin tone"
Hectorite,Clay,Thickens and stabilizes product,All skin types
Kaolin,Clay,"Absorbs excess oil, purifies and cleanses","Oily, Acne-prone skin"
Matricaria Recutita (Chamomile) Flower Extract,Botanical Extract,"Calms and soothes skin, reduces redness","Sensitive skin, Dry skin"
Olea Europaea (Olive) Leaf Extract,Botanical Extract,"Moisturizes, antioxidant","Dry skin, Sensitive skin"
Salix Nigra (Willow) Bark Extract,Botanical Extract,Exfoliates and calms the skin,"Oily, Acne-prone skin"
Titanium Dioxide,Physical Sunscreen,Provides sun protection,All skin types
Chamomile (Matricaria Recutita) Flower Extract,Botanical Extract,"Soothes, calms, reduces redness","Sensitive skin, Dry skin, Redness-prone skin"
White Tea (Camellia Sinensis) Leaf Extract,Botanical Extract,"Antioxidant, anti-aging, soothes","Mature skin, Sensitive skin, Dull skin"
"Brightenyl (Glycerin, Aqua, Diglucosyl Gallic Acid)",Complex (Brightening Agent),"Brightens skin tone, reduces dark spots, hydrates","Uneven skin tone, Dull skin, Pigmentation-prone skin"
Sodium Lauroyl Methyl Isethionate,Surfactant,"Cleansing agent, helps to remove dirt and oil","All skin types, especially sensitive"
Cocamidopropyl Betaine,Surfactant,"Cleanses and foams, mild on the skin","Sensitive skin, Dry skin"
Sodium Methyl Oleoyl Taurate,Surfactant,"Gentle cleanser, enhances foaming","Sensitive skin, Dry skin"
Lauryl Glucoside,Surfactant,"Gentle cleanser, non-drying","Sensitive skin, Dry skin"
Coco-Glucoside,Surfactant,"Gentle cleansing agent, moisturizing","Sensitive skin, Dry skin"
Glycerin,Humectant,"Draws moisture into the skin, hydrates","Dry skin, Dehydrated skin"
Methyl Gluceth-20,Humectant,"Hydrates, moisturizes, improves skin texture","Dry skin, Dehydrated skin"
3-O-Ethyl Ascorbic Acid,Vitamin C Derivative,"Brightens skin, antioxidant, evens skin tone","Dull skin, Uneven skin tone"
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Antioxidant, brightens skin, fights pigmentation","Dull skin, Pigmentation-prone skin"
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"Rich in Vitamin C, brightens, antioxidant properties","Dull skin, Pigmentation-prone skin"
Phenoxyethanol,Preservative,"Prevents bacterial growth, extends shelf life",All skin types
Ethylhexylglycerin,Preservative/Conditioner,"Antimicrobial, enhances skin feel",All skin types
Sodium Gluconate,Chelating Agent,"Stabilizes formulations, enhances effectiveness",All skin types
Fragrance,Fragrance,Adds scent to the product,All skin types (unless sensitive)
Citric Acid,pH Adjuster,"Balances pH, smooths skin",All skin types
Ethylhexyl Methoxycinnamate,UV Filter,Protects from UVB rays,All skin types
Butyl Methoxydibenzoylmethane,UV Filter,Protects from UVA rays,All skin types
Benzophenone-3,UV Filter,"Absorbs UV radiation, protects from sun damage",All skin types
Phospholipids,Emollient/Conditioner,"Moisturizing, restores skin barrier","Dry skin, Dehydrated skin"
"1,3 Butylene Glycol",Humectant,Hydrates and retains moisture,All skin types
Aloe Barbadensis (Aloe) Leaf Juice,Botanical Extract,"Soothes, hydrates, calms irritation","Sensitive skin, Dry skin, All skin types"
Glycerin,Humectant,"Hydrates, draws moisture into skin","Dry skin, Dehydrated skin"
Argania Spinosa (Argan) Kernel Oil,Oil/Emollient,"Moisturizes, restores elasticity, antioxidant","Dry skin, Aging skin"
Crocus Sativus (Saffron) Oil,Oil/Extract,"Antioxidant, brightening, anti-inflammatory","Dull skin, Pigmentation-prone skin"
Kumkumadi Oil,Oil/Extract,"Brightens skin, improves complexion, antioxidant","Dull skin, Pigmentation-prone skin"
Carica Papaya Extract,Botanical Extract,"Exfoliates, brightens skin, removes dead skin cells","Dull skin, Uneven skin tone"
Ammonium Acryloyldimethyltaurate/VP Copolymer,Polymer/Film-forming Agent,"Thickens, stabilizes formula",All skin types
Phenoxyethanol,Preservative,"Preserves the formula, prevents microbial growth",All skin types
Ethylhexylglycerin,Preservative/Conditioner,"Enhances skin feel, antimicrobial",All skin types
Niacinamide,Vitamin B3 Derivative,"Reduces pigmentation, improves skin texture","Pigmentation-prone skin, Dull skin"
Isodecyl Neopentanoate,Emollient,"Enhances skin feel, prevents moisture loss",All skin types
Sodium Gluconate,Chelating Agent,"Stabilizes formulas, enhances efficacy",All skin types
Ci 15510,Colorant,Adds color to the product,All skin types
Pseudoalteromonas Ferment Extract,Biotech Extract,"Moisturizing, skin barrier repair","Dry skin, Aging skin"
Oryza Sativa (Rice) Extract,Botanical Extract,"Soothes, moisturizes, brightens skin","Dull skin, Sensitive skin"
Caprylyl Methicone,Silicone,"Enhances skin feel, smoothens texture",All skin types
PEG-12 Dimethicone/PPG-20 Crosspolymer,Silicone/Polymer,"Improves spreadability, enhances texture",All skin types
Triolein,Emollient,"Moisturizes, softens skin","Dry skin, Aging skin"
Opuntia Ficus-Indica (Prickly Pear) Stem Water,Botanical Extract,"Hydrates, provides antioxidants","All skin types, Dry skin"
Squalane,Emollient,"Moisturizes, restores skin barrier, antioxidant","Dry skin, Sensitive skin"
Ethoxydiglycol,Solvent/Enhancer,"Solubilizes ingredients, enhances penetration",All skin types
Cyclopentasiloxane,Silicone,"Smoothes, provides lightweight texture",All skin types
Disodium EDTA,Chelating Agent,"Stabilizes formulas, enhances efficacy",All skin types
Camellia Sinensis (Green Tea) Leaf Extract,Botanical Extract,"Antioxidant, anti-inflammatory, soothes skin","Sensitive skin, Aging skin, Acne-prone"
Caprylic/Capric Triglyceride,Emollient,"Moisturizes, softens, improves skin texture","Dry skin, Sensitive skin"
Cetearyl Alcohol,Emollient/Emulsifier,"Thickens, moisturizes, softens skin","Dry skin, Sensitive skin"
Fragrance,Fragrance,"Adds scent, may cause irritation for sensitive skin",Not recommended for sensitive skin
FDA Approved Colours,Coloring agent,Provides color to the product,All skin types
Glycolic Acid,Alpha Hydroxy Acid (AHA),"Exfoliates, brightens, improves skin texture","Oily skin, Acne-prone, Dull skin"
PEG-400,Solvent/Emulsifier,"Enhances spreadability, dissolves ingredients",All skin types
Stearic Acid,Fatty Acid/Emulsifier,"Softens skin, stabilizes formulations","Dry skin, Sensitive skin"
Triethanolamine,pH Adjuster,"Balances pH, stabilizes formula",All skin types
Demineralized Water,Solvent,"Base ingredient, hydrates skin",All skin types
Octyl Methoxycinnamate (also known as Ethylhexyl Methoxycinnamate),Sunscreen Agent,"UV filter, protects from UVB rays","All skin types, especially sun-sensitive"
Octyl Salicylate,Sunscreen Agent,"UV filter, absorbs UVB rays, boosts sunscreen stability",All skin types
Stearic Acid,Fatty Acid/Emulsifier,"Softens skin, stabilizes formula","Dry skin, Sensitive skin"
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Sunscreen Agent,Broad-spectrum UV filter (UVA and UVB),"All skin types, especially sun-sensitive"
Titanium Dioxide,Sunscreen Agent,"Physical UV filter, protects from UVA and UVB rays","Sensitive skin, Sun-sensitive skin"
Zinc Oxide,Sunscreen Agent,"Physical UV filter, protects from UVA and UVB rays","Sensitive skin, Sun-sensitive skin"
Golden Virgin Jojoba Oil,Emollient,"Moisturizes, restores skin balance","Dry skin, Sensitive skin"
Aloe Vera Leaf Juice,Botanical Extract,"Soothes, hydrates, anti-inflammatory","Sensitive skin, Irritated skin"
Methylene Bis -Triazolyl Tetramethylphenol,Sunscreen Agent,"Broad-spectrum UV filter, protects against UVA and UVB",All skin types
Decyl Glucoside,Surfactant,"Cleanses, mild cleansing agent","Sensitive skin, Dry skin"
Propylene Glycol,Humectant,Hydrates and enhances the penetration of other ingredients,"Dry skin, Dehydrated skin"
Xanthan Gum,Thickener,"Stabilizes formula, improves texture",All skin types
Cetostearyl Alcohol,Emollient/Emulsifier,"Softens, emulsifies, moisturizes skin","Dry skin, Sensitive skin"
Polyacrylate-13,Film-forming agent,"Provides texture, film-forming for long-lasting effects",All skin types
Polyisobutene,Binder/Emollient,"Enhances texture, improves skin feel",All skin types
Polysorbate 20,Surfactant/Emulsifier,Helps mix ingredients and stabilizes the formulation,All skin types
Fragrance,Fragrance,"Adds scent to the product, may cause irritation for sensitive skin",Not recommended for sensitive skin
Cucumber Extract,Botanical Extract,"Soothes, hydrates, and refreshes skin","Sensitive skin, Irritated skin"
Green Tea Leaf Extract,Botanical Extract,"Antioxidant, anti-inflammatory, soothes and protects skin","Sensitive skin, Aging skin, Acne-prone"
Dicaprylyl Ether,Emollient,"Provides a smooth, silky feel, light moisturizer",All skin types
Alcohol Denat,Solvent/Antiseptic,"A solvent, can act as an antiseptic, sometimes drying","Oily skin, Acne-prone skin (if used in moderation)"
Caprylic/Capric Triglyceride,Emollient,"Moisturizes, smoothens skin","Dry skin, Sensitive skin"
Zea Mays Starch/Corn Starch,Absorbent,"Absorbs excess oil, mattifies skin",Oily skin
Polyglyceryl-3 Methylglucose Distearate,Emulsifier,Helps ingredients mix and stabilize the formula,All skin types
Stearyl Alcohol,Fatty Alcohol/Emulsifier,"Emollient, emulsifier, thickens and softens the formula","Dry skin, Sensitive skin"
Glyceryl Stearate SE,Emulsifier/Emollient,Creates emulsions and hydrates the skin,"Dry skin, Sensitive skin"
Carbomer,Thickener,"Thickens formula, stabilizes the product",All skin types
Salicylic Acid,Exfoliant,"Exfoliates, clears pores, treats acne","Oily, Acne-prone skin"
Caprylyl Glycol,Humectant/Preservative,Moisturizes and acts as a preservative,All skin types
Tocopherol (Vitamin E),Antioxidant,"Protects skin from oxidative stress, nourishes",All skin types
Parfum/Fragrance,Fragrance,Adds fragrance to the product (may cause irritation for sensitive skin),Not recommended for sensitive skin
Sodium Hydroxide,pH Adjuster,Adjusts the pH of the product,All skin types
Xanthan Gum,Thickener,Stabilizes and thickens the formula,All skin types
Sodium Phytate,Chelating Agent,"Binds metal ions, improves stability and preservative efficacy",All skin types
Glycine Soja Oil (Soybean Oil),Emollient,Nourishes and softens skin,"Dry skin, Sensitive skin"
Linalool,Fragrance Compound,"Fragrance, may cause irritation for sensitive skin",Not recommended for sensitive skin
Maltodextrin,Stabilizer,"Stabilizes the formula, helps with texture",All skin types
Benzyl Salicylate,Fragrance Compound,"Fragrance, may cause irritation for sensitive skin",Not recommended for sensitive skin
Camellia Sinensis Leaf Extract (Green Tea Extract),"Antioxidant, Soothing","Antioxidant, anti-inflammatory, soothes and protects skin","Sensitive skin, Aging skin, Acne-prone"
Limonene,Fragrance Compound,"Fragrance, may cause irritation for sensitive skin",Not recommended for sensitive skin
Dextrin,Stabilizer,Improves texture and stability,All skin types
Benzyl Alcohol,Preservative,"Prevents microbial growth, can cause irritation for sensitive skin",All skin types
Geraniol,Fragrance Compound,"Fragrance, may cause irritation for sensitive skin",Not recommended for sensitive skin
Alcohol Denat,Solvent/Antiseptic,"A solvent, can act as an antiseptic, sometimes drying","Oily skin, Acne-prone skin (use with caution)"
Maltodextrin,Stabilizer,Improves texture and stability,All skin types
Citral,Fragrance Compound,"Fragrance, may cause irritation for sensitive skin",Not recommended for sensitive skin
Dimethicone,Silicone/Emollient,"Smoothens and provides a silky texture, locks in moisture",All skin types
Cetyl Ethylhexanoate,Emollient/Emulsifier,Moisturizes and improves texture,"Dry skin, Sensitive skin"
Silica,Absorbent/Thickener,"Absorbs excess oil, mattifies skin",Oily skin
Butylene Glycol,Humectant/Carrier,Draws moisture into the skin and helps other ingredients absorb,All skin types
Dipropylene Glycol,Solvent,Enhances the texture and spreadability,All skin types
Trisiloxane,Silicone,"Gives a smooth finish, improves the feel on the skin",All skin types
Caprylyl Methicone,Silicone/Emollient,"Provides a silky, smooth feel",All skin types
Lactobacillus Ferment,Ferment/Probiotic,"Balances skin microbiome, improves skin barrier","Sensitive skin, Acne-prone skin"
PEG-9 Polydimethylsiloxyethyl Dimethicone,Silicone/Emulsifier,"Emollient, enhances texture and spreadability",All skin types
Camellia Sinensis (Green Tea) Leaf Extract,Antioxidant/Soothing,"Protects against free radicals, soothes and calms skin","All skin types, Sensitive skin"
Rosmarinus Officinalis (Rosemary) Leaf Extract,Antioxidant/Anti-inflammatory,"Protects from oxidative stress, soothes inflammation",All skin types
Arctium Lappa Root Extract,Anti-inflammatory,Soothes and calms irritated skin,"Sensitive skin, Acne-prone skin"
Simmondsia Chinensis (Jojoba) Seed Extract,Emollient/Humectant,Moisturizes and conditions the skin,"Dry skin, Sensitive skin"
Phellodendron Amurense Bark Extract,Anti-inflammatory,Soothes and helps balance the skin,"Sensitive skin, Acne-prone skin"
Algae Extract,Moisturizing/Antioxidant,"Hydrates, nourishes, and provides antioxidant protection",All skin types
Epilobium Angustifolium Flower/Leaf/Stem Extract,Antioxidant/Anti-inflammatory,Calms the skin and reduces irritation,"Sensitive skin, Redness-prone skin"
Wine Extract,Antioxidant,"Provides antioxidant properties, helps with aging signs",Aging skin
Dipotassium Glycyrrhizate,Soothing/Anti-inflammatory,Reduces redness and irritation,"Sensitive skin, Redness-prone skin"
Sodium Hyaluronate,Humectant,Hydrates and plumps skin by drawing moisture,"All skin types, Dry skin"
